,State,District,SOURCE,Latitude,Longitude,Well Depth,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pst_2015,Pst_2016,Pst_2017,Pst_2018,Pst_2015
37,gujarat,Banaskantha,SGWB,24.58,72.2,71.31981595630886,37.3,34.2,37.4,34.0,36.7,33.2,30.0,32.5,34.0,34.98
38,gujarat,Banaskantha,SGWB,24.65,71.88,97.01002978686735,45.8,48.6,51.9,53.8,60.6,44.1,47.1,49.4,53.0,55.7
39,gujarat,Banaskantha,SGWB,24.27,72.48,49.76968223920667,14.6,13.6,15.7,10.9,14.93,11.9,13.6,8.9,10.6,12.4
40,gujarat,Banaskantha,SGWB,24.11,72.25,94.18414804492367,69.4,60.5,67.1,60.3,65.2,61.8,53.1,52.75,61.75,55.75
41,gujarat,Banaskantha,SGWB,24.11,72.25,120.0,128.6,120.3,119.3,117.2,121.9,120.8,114.0,111.66,120.6,112.2
42,gujarat,Banaskantha,SGWB,24.11,72.25,200.0,156.0,145.7,150.15,152.0,156.45,145.5,139.0,141.5,150.6,144.15
43,gujarat,Banaskantha,SGWB,24.52,71.86,48.0,44.35,45.35,47.35,49.25,52.75,44.25,43.85,46.15,49.25,51.45
44,gujarat,Banaskantha,SGWB,23.96,72.58,90.0,34.0,34.6,38.1,33.6,36.3,30.5,33.8,32.1,33.2,34.55
45,gujarat,Banaskantha,SGWB,24.07,72.61,37.0,21.2,17.4,20.4,17.7,22.6,15.5,16.7,14.5,17.1,18.85
46,gujarat,Banaskantha,SGWB,24.04,72.34,125.0,139.58,138.78,136.28,134.58,136.98,136.58,132.58,131.98,134.53,133.48
47,gujarat,Banaskantha,SGWB,24.21,72.32,150.0,95.31,94.81,97.11,95.41,97.21,94.51,91.41,91.31,94.31,95.81
48,gujarat,Banaskantha,SGWB,24.14,72.53,199.0,30.2,27.9,28.75,27.3,31.2,26.7,26.6,26.5,27.51,29.3
49,gujarat,Banaskantha,SGWB,24.15,72.65,60.0,19.5,17.2,20.9,16.2,25.3,15.4,17.9,13.9,15.6,19.5
50,gujarat,Banaskantha,SGWB,24.08,72.49,99.0,36.9,35.0,37.4,35.9,39.75,31.52,34.4,34.2,35.9,37.35
51,gujarat,Banaskantha,SGWB,24.29,72.17,51.75,79.88,70.78,82.08,65.48,76.33,79.98,74.18,71.28,67.13,77.78
52,gujarat,Banaskantha,SGWB,24.29,72.17,150.0,88.9,86.3,97.6,80.0,90.15,88.5,87.1,85.15,81.7,91.1
53,gujarat,Banaskantha,SGWB,24.21,72.01,120.0,131.5,131.5,136.3,139.0,139.68,128.1,133.3,133.2,142.55,136.9
54,gujarat,Banaskantha,SGWB,24.15,72.11,45.0,111.6,111.3,115.8,102.0,109.86,107.2,113.3,108.8,110.4,108.1
55,gujarat,Banaskantha,SGWB,24.13,72.17,60.0,84.1,91.8,95.8,92.4,99.1,88.6,92.4,89.1,90.0,94.5
56,gujarat,Banaskantha,SGWB,24.49,72.18,60.5,58.19,54.69,55.69,56.69,58.69,54.29,54.39,55.69,56.09,55.89
