Sl. No.,State,District,Block,Village,TYPE,SOURCE,Site_Name,Latitude,Longitude,Well Depth,Aquifier,Level Depth Ratio,Pre_2015,Pst_2015,Pre_2016,Pst_2016,Pre_2017,Pst_2017,Pre_2018,Pst_2018,Pre_2019,Pst_2019,Final Count,Pre Diff 19 15,Pst Diff 19 15,Diff 2015,Diff 2016,Diff 2017,Diff 2018,Diff 2019,Avg Diff,Avg Pre,Avg Post ,Avg Level,Sign Diff 15,Sign Diff 16,Sign Diff 17,Sign Diff 18,Sign Diff 19,Sum Signed Diff
673,Haryana,Sirsa,Rania,Nathor,Tube wells,SGWB,Tubewell Outside Village Nathor- Bacher Road,29.51732644,74.83554808,,,,32.01,33.53,33.53,34.4,34.4,34.4,35.6,35.9,38.7,39.4,10,6.69,5.87,1.52,0.87,0,0.3,0.7,0.68,34.85,35.53,35.19,1,1,0,1,1,4
674,Haryana,Gurugram,Sohna,Neemoth         ,Dug wells,SGWB,"Near Hari Singh House opp. Road in field, OW",28.27036925,77.15648778,,,,21.2,21.35,22.35,22.4,22.4,22.65,22.4,22.1,23.25,22.85,10,2.05,1.5,0.15,0.05,0.25,-0.3,-0.4,-0.05,22.32,22.27,22.30,1,1,1,-1,-1,1
675,Haryana,Mahendragarh,Nangal Chaudhary,Ngl. Choudhry,Piezometers,SGWB,Back Side of Police Station . - PT,27.89423391,76.10878266,,,,59.65,60.7,60.34,60.18,69.03,69.03,67.5,68.6,67.7,67,10,8.05,6.3,1.05,-0.16,0,1.1,-0.7,0.26,64.84,65.10,64.97,1,-1,0,1,-1,0
676,Haryana,Bhiwani,Tosham,Nigana Khurd,Tube wells,SGWB,,28.77415419,75.94593192,,,,20.95,21.5,21.1,21.3,21.17,20.9,21.6,21.1,20.56,18.9,10,-0.39,-2.6,0.55,0.2,-0.27,-0.5,-1.66,-0.34,21.08,20.74,20.91,1,1,-1,-1,-1,-1
677,Haryana,Bhiwani,Tosham,Niganakalan,Tube wells,SGWB,,28.77327392,75.916863,,,,19.85,19.55,19.55,19.5,19.3,19.1,19.8,19.3,20.08,19.65,10,0.23,0.1,-0.3,-0.05,-0.2,-0.5,-0.43,-0.30,19.72,19.42,19.57,-1,-1,-1,-1,-1,-5
678,Haryana,Mahendragarh,Mahendergarh,Nihalawas,Tube wells,SGWB,In the Center of Village -GB,28.17312509,76.11121347,,,,96.7,97.1,98.5,100,110.5,110.5,112,110,112,111,10,15.3,13.9,0.4,1.5,0,-2,-1,-0.22,105.94,105.72,105.83,1,1,0,-1,-1,0
679,Haryana,Sirsa,Ellanabad,Nimla,Dug wells,SGWB,Well in middle of Village Nimla,29.40893007,74.5943494,,,,14.1,8.75,8.9,10,9.5,10.35,11.6,13.1,11.91,12.3,10,-2.19,3.55,-5.35,1.1,0.85,1.5,0.39,-0.30,11.20,10.90,11.05,-1,1,1,1,1,3
680,Haryana,Bhiwani,Behal,Noon Sar,Piezometers,SGWB,,28.67940716,75.73349641,,,,53.86,54,52.32,53.3,54.4,55.1,55.15,53.38,55.18,55.4,10,1.32,1.4,0.14,0.98,0.7,-1.77,0.22,0.05,54.18,54.24,54.21,1,1,1,-1,1,3
681,Haryana,Mahendragarh,Narnaul,Nunival,Dug wells,SGWB,Near Govt Primary School in Village -DW,28.0718691,76.13411054,,,,14.2,12.1,14.25,12.05,11.2,11.2,13.25,10.15,13,9.7,10,-1.2,-2.4,-2.1,-2.2,0,-3.1,-3.3,-2.14,13.18,11.04,12.11,-1,-1,0,-1,-1,-4
682,Haryana,Sirsa,Rania,Ottu,Tube wells,SGWB,Public Health tube well Ottu,29.49221974,74.89243818,,,,31.11,32.63,33.53,32.63,31.7,31.73,32.9,33,40.29,41.03,10,9.18,8.4,1.52,-0.9,0.03,0.1,0.74,0.30,33.91,34.20,34.06,1,-1,1,1,1,3
683,Haryana,Kurukshetra,Shahbad,Padlu ,Piezometers,SGWB,In Govt. High School,30.18797619,76.92818034,,,,42.6,44,42.7,43.5,44.07,44.65,45.66,47.6,48.12,50.09,10,5.52,6.09,1.4,0.8,0.58,1.94,1.97,1.34,44.63,45.97,45.30,1,1,1,1,1,5
684,Haryana,Faridabad,Ballabhgarh,Pahladpur   ,Dug wells,SGWB,"Panchyati well Dalip Singh House, OW",28.32,77.41,,,,13.2,13.35,14.4,14.8,14.95,14.95,15.05,14.4,15.5,15.3,10,2.3,1.95,0.15,0.4,0,-0.65,-0.2,-0.06,14.62,14.56,14.59,1,1,0,-1,-1,0
685,Haryana,Bhiwani,Behal,Paju,Tube wells,SGWB,,28.57,75.672,,,,81.49,81.6,81.04,81.94,83.04,83.94,84.64,84,84.71,84.86,10,3.22,3.26,0.11,0.9,0.9,-0.64,0.15,0.28,82.98,83.27,83.13,1,1,1,-1,1,3
686,Haryana,Mahendragarh,Mahendergarh,Pali,Tube wells,SGWB,In the Front of Panchayat Ghar -GB,28.33369508,76.13727035,,,,34.25,34.3,34.8,35.5,35.8,35.8,37.5,37.2,39,38,10,4.75,3.7,0.05,0.7,0,-0.3,-1,-0.11,36.27,36.16,36.22,1,1,0,-1,-1,0
687,Haryana,Faridabad,Faridabad,Pali,Piezometers,CGWB,Pali2,28.37277778,77.24861111,39,,0.7583012821,25.06,28.66,17.05,31,,,29,28.6,38.72,38.5,8,13.66,9.84,3.6,13.95,,-0.4,-0.22,4.23,27.46,31.69,29.57,1,1,0,-1,-1,0
688,Haryana,Rewari,Khol,Pali            ,Tube wells,SGWB,On Bus Stop of Pali-PT,28.15795723,76.45401417,,,,50.4,50.65,50.75,51.5,50.75,51.25,52.25,51.75,52.75,52.25,10,2.35,1.6,0.25,0.75,0.5,-0.5,-0.5,0.10,51.38,51.48,51.43,1,1,1,-1,-1,1
689,Haryana,Palwal,Palwal,Palwal ,Dug wells,SGWB,"LHS of Palwal Rasulpur road just of railway cross, KOW",28.15244671,77.31837096,,,,6.6,6.7,7.35,7.4,7.32,7.27,7.44,7.32,8.1,7.95,10,1.5,1.25,0.1,0.05,-0.05,-0.12,-0.15,-0.03,7.36,7.33,7.35,1,1,-1,-1,-1,-1
690,Haryana,Gurugram,Pataudi,Panchgaon           ,Piezometers,SGWB,"Govt. Middle School, PT",28.318,76.897,,,,42.6,43,45.55,46.75,47.9,45.6,47.05,46.7,48.2,47.65,10,5.6,4.65,0.4,1.2,-2.3,-0.35,-0.55,-0.32,46.26,45.94,46.10,1,1,-1,-1,-1,-1
691,Haryana,Fatehabad,Tohana,Parta,Tube wells,SGWB,,29.57129424,75.8436913,,,,12.5,12,13,12.5,12.8,13,12,12.9,13.78,14.2,10,1.28,2.2,-0.5,-0.5,0.2,0.9,0.42,0.10,12.82,12.92,12.87,-1,-1,1,1,1,1
692,Haryana,Panipat,Bapoli,Pasina Kalan,Tube wells,SGWB,Near Govt. School on the road.,29.30698045,77.0240868,,,,35.64,35.32,36.43,35.62,36.54,35.66,37.67,35.97,38.28,36.43,10,2.64,1.11,-0.32,-0.81,-0.88,-1.7,-1.85,-1.11,36.91,35.80,36.36,-1,-1,-1,-1,-1,-5
693,Haryana,Bhiwani,Tosham,Pataudi,Dug wells,SGWB,,28.80198667,75.80854454,,,,14.65,15.13,15.13,15,15.4,14.7,16.7,17,17.1,16.95,10,2.45,1.82,0.48,-0.13,-0.7,0.3,-0.15,-0.04,15.80,15.76,15.78,1,-1,-1,1,-1,-1
694,Haryana,Gurugram,Pataudi,Pataudi                       ,Piezometers,SGWB,"Mini Sectt., PT",28.35,76.75,,,,38.45,38.6,39,39.5,39,39.73,40,39.78,40.85,40.62,10,2.4,2.02,0.15,0.5,0.73,-0.22,-0.23,0.19,39.46,39.65,39.55,1,1,1,-1,-1,1
695,Haryana,Mahendragarh,Kanina,Pathera           ,Tube wells,SGWB,Left hand side of Kanina to NNL road (Chote Lal House -GB,28.32062546,76.21898656,,,,29.5,31.5,32.1,29.8,30.3,30.3,29.8,29.3,31.3,30.8,10,1.8,-0.7,2,-2.3,0,-0.5,-0.5,-0.26,30.60,30.34,30.47,1,-1,0,-1,-1,-2
696,Haryana,Sirsa,Ellanabad,Patti Kirpal,Tube wells,SGWB,Tube Well On Road Patti Kirpal,29.48861035,74.74865232,,,,30.48,33.53,35.06,35.88,35.88,36.75,36.5,36.5,38.5,39.02,10,8.02,5.49,3.05,0.82,0.87,0,0.52,1.05,35.28,36.34,35.81,1,1,1,0,1,4
697,Haryana,Panipat,Samalkha,Pattikalyana,Tube wells,SGWB,In the Primary School.,29.20224507,77.02309143,,,,31.46,32.41,33.05,32.86,33.36,32.87,34.63,35.65,36.2,37.65,10,4.74,5.24,0.95,-0.19,-0.49,1.02,1.45,0.55,33.74,34.29,34.01,1,-1,-1,1,1,1
698,Haryana,Bhiwani,Behal,Patwan,Tube wells,SGWB,PANCHAYATI NORTH OF VILLAGE,28.65551398,75.58981679,,,,55.67,56.82,56.98,57.1,57.2,58,59.3,59.39,59.6,59.96,10,3.93,3.14,1.15,0.12,0.8,0.09,0.36,0.50,57.75,58.25,58.00,1,1,1,1,1,5
699,Haryana,Kaithal ,Gulha,Peedal ,Tube wells,SGWB,In the Village,30.001,76.34,,,,40.3,41.5,41.6,43.33,43.32,44.37,45.04,46.89,47.05,47.358,10,6.75,5.858,1.2,1.73,1.05,1.85,0.308,1.23,43.46,44.69,44.08,1,1,1,1,1,5
700,Haryana,Palwal,Palwal,Peelak ,Dug wells,SGWB,"Mandir well LHS of village to alligarh kuccha point, OW",28.13117371,77.40207365,,,,20.15,20.22,20.65,21.3,21.92,22.23,21.75,21.32,23.8,23.6,10,3.65,3.38,0.07,0.65,0.31,-0.43,-0.2,0.08,21.65,21.73,21.69,1,1,1,-1,-1,1
701,Haryana,Sirsa,Rania,Peer Khera,Dug wells,SGWB,Tube Well Jodhpuria Peer Khera Road,29.63374692,74.90616772,,,,17.28,17.28,18.2,19.81,18.2,18.2,19,19,12.19,12.89,10,-5.09,-4.39,0,1.61,0,0,0.7,0.46,16.97,17.44,17.21,0,1,0,0,1,2
702,Haryana,Kurukshetra, Pehowa,Pehowa ,Piezometers,SGWB,"In SDO Office, Irrig. Deptt.",29.9759873,76.5800531,,,,38.65,40,40.14,41.3,42.07,42.68,43.68,45.61,44.03,44.8,10,5.38,4.8,1.35,1.16,0.61,1.93,0.77,1.16,41.71,42.88,42.30,1,1,1,1,1,5
703,Haryana,Palwal,Hodal,Phulwari  ,Dug wells,SGWB,"Panchyati near Khem chand s/o Chhote ram house, OW",28.0680443,77.32490772,,,,9.85,9.95,10.45,10.6,10.7,10.7,10.75,10.2,11.2,11,10,1.35,1.05,0.1,0.15,0,-0.55,-0.2,-0.10,10.59,10.49,10.54,1,1,0,-1,-1,0
704,Haryana,Palwal,Hassanpur,Pingora,Dug wells,SGWB,Harijan well in harijan dharamshalla RHS of approach road turning of the boundar,28.0023177,77.3957148,,,,5.75,5.7,6.6,6.7,7.1,6.9,7.15,6.95,7.35,7.25,10,1.6,1.55,-0.05,0.1,-0.2,-0.2,-0.1,-0.09,6.79,6.70,6.75,-1,1,-1,-1,-1,-3
705,Haryana,Bhiwani,Tosham,Pinjhokra,Dug wells,SGWB,,28.89033547,75.82064914,,,,12.8,12.4,13.12,12.52,13.02,12.4,13.1,12,12.08,11.5,10,-0.72,-0.9,-0.4,-0.6,-0.62,-1.1,-0.58,-0.66,12.82,12.16,12.49,-1,-1,-1,-1,-1,-5
706,Haryana,Sirsa,Ellanabad,Pohrka,Tube wells,SGWB,Tubewell near Nehar Pohrka,29.41597285,74.7454964,,,,19.81,21.34,21.34,22.5,22.5,23.35,22.8,13,25.8,26.07,10,5.99,4.73,1.53,1.16,0.85,-9.8,0.27,-1.20,22.45,21.25,21.85,1,1,1,-1,1,3
707,Haryana,Bhiwani,Kairu,Pokerwas,Dug wells,SGWB,PANCHAYAT ON THE BUSTAND,28.6158054,75.89462368,,,,30.5,30.66,31,31.7,32,32.5,33.2,33.17,33.25,33.17,10,2.75,2.51,0.16,0.7,0.5,-0.03,-0.08,0.25,31.99,32.24,32.12,1,1,1,-1,-1,1
708,Haryana,Palwal,Hathin,Pondri,Dug wells,SGWB,"Panchyati at the end of approach road to village, OW",28.12068587,77.13395249,,,,1.6,1.68,2.05,1.85,1.9,1.65,1.92,1.8,2.3,2.25,10,0.7,0.57,0.08,-0.2,-0.25,-0.12,-0.05,-0.11,1.95,1.85,1.90,1,-1,-1,-1,-1,-3
709,Haryana,Mahendragarh,Ateli,Prithipura,Tube wells,SGWB,Near mool chand house -DCB,28.0777049,76.2632124,,,,61.4,62,63.5,64,64.3,64.3,71.8,70.5,71.5,71,10,10.1,9,0.6,0.5,0,-1.3,-0.5,-0.14,66.50,66.36,66.43,1,1,0,-1,-1,0
710,Haryana,Karnal,Karnal,Pundrak,Piezometers,SGWB,Govt SR. Sec. School,29.7160714,76.93471444,,,,15.96,15.07,17.18,16.35,17.25,16.6,18.9,18.58,22.1,,9,6.14,,-0.89,-0.83,-0.65,-0.32,,-0.67,18.28,16.65,17.55,-1,-1,-1,-1,0,-4
711,Haryana,Gurugram,Sohna,Quadarpur    ,Piezometers,SGWB,"CRPF Campe, OW ",28.39,77.1,,,,32,32.1,30.1,30.56,30.5,31.1,30.65,30.4,31.4,30.8,10,-0.6,-1.3,0.1,0.46,0.6,-0.25,-0.6,0.06,30.93,30.99,30.96,1,1,1,-1,-1,1
712,Haryana,Yamuna Nagar,Radour,Radour,Piezometers,SGWB,,30.00055556,77.0025,,,,16.59,16.69,16.65,,16.76,15.63,16.78,15.03,16.93,14.88,9,0.34,-1.81,0.1,,-1.13,-1.75,-2.05,-1.21,16.74,15.56,16.22,1,0,-1,-1,-1,-2
713,Haryana,Mahendragarh,Narnaul,Raghunathpura,Tube wells,SGWB,South West of Village near the house of Gisa Ram -DCB,28.07123757,76.06691041,,,,31.85,33.05,34.5,33.5,35,35,36,34,34.2,32,10,2.35,-1.05,1.2,-1,0,-2,-2.2,-0.80,34.31,33.51,33.91,1,-1,0,-1,-1,-2
714,Haryana,Palwal,Hassanpur,Rahimpur,Dug wells,SGWB,"Harijan well east of village, OW",28.100562,77.46143498,,,,19,19.05,19.45,19.45,20.05,20.2,20.3,19.65,21.55,21.4,10,2.55,2.35,0.05,0,0.15,-0.65,-0.15,-0.12,20.07,19.95,20.01,1,0,1,-1,-1,0
715,Haryana,Gurugram,Sohna,Raisina            ,Dug wells,SGWB,"On Alipur to Raisina Road for vill. on LHS of Road, OW ",28.33088753,77.03999856,,,,33.1,33.27,34.1,34.5,34.85,35.3,34.82,34.8,35.5,35.05,10,2.4,1.78,0.17,0.4,0.45,-0.02,-0.45,0.11,34.47,34.58,34.53,1,1,1,-1,-1,1
716,Haryana,Kaithal ,Rajaund,Rajaund (Chocked),Tube wells,SGWB,In BDPO Office,29.56499104,76.48203908,,,,14.1,14.7,15.8,16.3,16.55,16.6,17.52,18.46,17.16,16.75,10,3.06,2.05,0.6,0.5,0.05,0.94,-0.41,0.34,16.23,16.56,16.39,1,1,1,1,-1,3
717,Haryana,Rewari,Khol,Rajpura       ,Tube wells,SGWB,South of Villag -DW,28.19360177,76.51086498,,,,23.95,24.15,24.3,24.35,24.4,24.5,21.65,21.2,22.2,21.85,10,-1.75,-2.3,0.2,0.05,0.1,-0.45,-0.35,-0.09,23.30,23.21,23.26,1,1,1,-1,-1,1
718,Haryana,Gurugram,Pataudi,Rajpura                 ,Piezometers,SGWB,"Govt. School, PT",28.34476403,76.71254833,,,,27,25.9,27.75,28.95,27.35,27.43,28.05,27.4,28.1,27.75,10,1.1,1.85,-1.1,1.2,0.08,-0.65,-0.35,-0.16,27.65,27.49,27.57,-1,1,1,-1,-1,-1
719,Haryana,Panipat,Samalkha,Rakshera,Tube wells,SGWB,North of village on Yamuna side,29.18369734,77.11029439,,,,13.16,13.6,14.57,14.83,15.6,14.98,16.97,16.09,18.31,17.85,10,5.15,4.25,0.44,0.26,-0.62,-0.88,-0.46,-0.25,15.72,15.47,15.60,1,1,-1,-1,-1,-1
720,Haryana,Kurukshetra, Pehowa,Ram Garh Ror ,Tube wells,SGWB,In the Village,30.00273816,76.72013494,,,,27.6,29.1,29.1,30.75,31,31.65,32.69,34.29,33.8,34.4,10,6.2,5.3,1.5,1.65,0.65,1.6,0.6,1.20,30.84,32.04,31.44,1,1,1,1,1,5
721,Haryana,Kurukshetra,Shahbad,Ram Nagar ,Piezometers,SGWB,In IBDC Center,30.0792641,76.86322002,,,,39.1,41.8,41.03,42.96,44.3,44.87,45.81,45.88,45.31,46.71,10,6.21,4.91,2.7,1.93,0.57,0.07,1.4,1.33,43.11,44.44,43.78,1,1,1,1,1,5
722,Haryana,Karnal,Karnal,Ramba,Piezometers,SGWB,Govt. High School near West Yamuna River,29.7890336,76.98017142,,,,8.57,7.11,9.37,9.47,10.01,9.4,11.5,10.42,12.7,,9,4.13,,-1.46,0.1,-0.61,-1.08,,-0.76,10.43,9.10,9.84,-1,1,-1,-1,0,-2
723,Haryana,Palwal,Hassanpur,Ramgarh,Dug wells,SGWB,"Adjoining to sh. hariram s/o harigovind house south of village, OW",27.95,77.47,,,,17.5,17.4,18.1,18.1,18.5,18.65,18.6,18.15,19.35,19,10,1.85,1.6,-0.1,0,0.15,-0.45,-0.35,-0.15,18.41,18.26,18.34,-1,0,1,-1,-1,-2
724,Haryana,Mahendragarh,Ateli,Rampura  ,Tube wells,SGWB,Near Sukh dev house -GB,28.07038638,76.32264532,,,,72.6,73.3,74.5,75,75.3,75.3,78.5,78,79.5,79,10,6.9,5.7,0.7,0.5,0,-0.5,-0.5,0.04,76.08,76.12,76.10,1,1,0,-1,-1,0
725,Haryana,Sirsa,Rania,Rania,Tube wells,SGWB,PT GSSS Rania ,29.63787859,74.72280363,,,,42.53,45.43,45.33,46.17,47.83,48.33,49.03,51.7,51.38,51.98,10,8.85,6.55,2.9,0.84,0.5,2.67,0.6,1.50,47.22,48.72,47.97,1,1,1,1,1,5
726,Haryana,Karnal,Karnal,Ranwar,Piezometers,SGWB,Govt. High School.,29.62270502,77.00585797,,,,19.85,19.67,21.83,21.32,22.35,21.8,23.14,22.49,20.41,,9,0.56,,-0.18,-0.51,-0.55,-0.65,,-0.47,21.52,21.32,21.43,-1,-1,-1,-1,0,-4
727,Haryana,Fatehabad,Tohana,Rasulpur,Tube wells,SGWB,,29.634,75.685,,,,49.2,49.6,51,51.5,52,52.5,54,55.2,54.3,55.1,10,5.1,5.5,0.4,0.5,0.5,1.2,0.8,0.68,52.10,52.78,52.44,1,1,1,1,1,5
728,Haryana,Kaithal ,Gulha,Ratta Khera Khurana ,Tube wells,SGWB,In the Village,30.11550892,76.43927861,,,,30.2,32.2,32.19,32.1,34.21,35.14,35.99,37.8,38.01,38.25,10,7.81,6.05,2,-0.09,0.93,1.81,0.24,0.98,34.12,35.10,34.61,1,-1,1,1,1,3
729,Haryana,Kurukshetra,Shahbad,Rawa ,Tube wells,SGWB,In the Village,30.17012417,76.91638596,,,,41.3,42.3,41.8,42.1,43.5,43.95,44.96,46.53,47.92,49.87,10,6.62,7.57,1,0.3,0.45,1.57,1.95,1.05,43.90,44.95,44.42,1,1,1,1,1,5
730,Haryana,Palwal,Palwal,Rehrana,Dug wells,SGWB,"Harijan well LHS of approach road, OW",28.10227573,77.32203037,,,,11,11.2,11.7,11.5,11.85,12.05,11.98,11.72,12.6,12.35,10,1.6,1.15,0.2,-0.2,0.2,-0.26,-0.25,-0.06,11.83,11.76,11.80,1,-1,1,-1,-1,-1
731,Haryana,Kaithal ,Gulha,Rewar ,Tube wells,SGWB,In the Village,29.99505475,76.3961214,,,,31.4,33.4,33,33.65,35.2,36.15,36.87,38.64,38.6,37.1,10,7.2,3.7,2,0.65,0.95,1.77,-1.5,0.77,35.01,35.79,35.40,1,1,1,1,-1,3
732,Haryana,Gurugram,Sohna,Rithoj              ,Dug wells,SGWB,"In owner field, OW",28.34658879,77.09774221,,,,19.05,19,19.8,20,20.15,20.5,20.35,20.3,21.6,21.15,10,2.55,2.15,-0.05,0.2,0.35,-0.05,-0.45,0.00,20.19,20.19,20.19,-1,1,1,-1,-1,-1
733,Haryana,Bhiwani,Tosham,Riwasa,Dug wells,SGWB,PANCHAYTI ON BUS STAND,28.79761807,75.96365136,,,,1.5,2.6,1.5,1.3,1.4,1.4,2.5,1.5,2.28,1.98,10,0.78,-0.62,1.1,-0.2,0,-1,-0.3,-0.08,1.84,1.76,1.80,1,-1,0,-1,-1,-2
734,Haryana,Bhiwani,Tosham,Rodhan,Dug wells,SGWB,PANCHAYATI LHS OF BUSTAND ROAD ,28.750524,75.732588,,,,17,16.25,16.83,16.4,17.4,17.32,17.3,16.3,16.27,15.9,10,-0.73,-0.35,-0.75,-0.43,-0.08,-1,-0.37,-0.53,16.96,16.43,16.70,-1,-1,-1,-1,-1,-5
735,Haryana,Kaithal ,Rajaund,Rohera  ,Dug wells,SGWB,Panchayati,29.56109568,76.41473425,,,,13.9,15,15.5,15.9,15.9,16.2,17.31,16.85,17.05,16.9,10,3.15,1.9,1.1,0.4,0.3,-0.46,-0.15,0.24,15.93,16.17,16.05,1,1,1,-1,-1,1
736,Haryana,Yamuna Nagar,Sadhoura,Sadhoura,Piezometers,SGWB,,30.00638889,77.00361111,,,,7.47,7.28,7.42,,7.58,6.08,6.65,6.17,6.81,3.95,9,-0.66,-3.33,-0.19,,-1.5,-0.48,-2.86,-1.26,7.19,5.87,6.60,-1,0,-1,-1,-1,-4
737,Haryana,Yamuna Nagar,Sadhoura,Sadhoura ,Dug wells,SGWB,,30.00638889,77.00361111,,,,6.77,5.9,6.85,,6.97,6.07,7,6.09,7.15,4.8,9,0.38,-1.1,-0.87,,-0.9,-0.91,-2.35,-1.26,6.95,5.72,6.40,-1,0,-1,-1,-1,-4
738,Haryana,Gurugram,Farukhnagar,Sadhrana       ( Rwh)             ,Piezometers,SGWB,"Govt. High School, PT",28.45618588,76.90396748,,,,19.05,19.15,21.95,21,21.4,20.55,21.85,20.2,21.55,21.18,10,2.5,2.03,0.1,-0.95,-0.85,-1.65,-0.37,-0.74,21.16,20.42,20.79,1,-1,-1,-1,-1,-3
739,Haryana,Bhiwani,Tosham,Sagban,Dug wells,SGWB,,28.86099312,75.95729926,,,,4.65,4.3,4.68,3.8,4.2,2.85,3.65,2.85,2.88,2.2,10,-1.77,-2.1,-0.35,-0.88,-1.35,-0.8,-0.68,-0.81,4.01,3.20,3.61,-1,-1,-1,-1,-1,-5
740,Haryana,Faridabad,Ballabhgarh,Sahjahan Pur      ,Piezometers,SGWB,"Govt. Primary School, OW",28.31496621,77.47085224,,,,21.5,21.55,22.1,22.4,22.6,22.75,23.55,20.9,22.1,21.75,10,0.6,0.2,0.05,0.3,0.15,-2.65,-0.35,-0.50,22.37,21.87,22.12,1,1,1,-1,-1,1
741,Haryana,Mahendragarh,Nangal Chaudhary,Saidli Pur      ,Dug wells,SGWB,Under Piple tree in the Village -DW,27.870281,76.07027434,,,,36.65,36.4,36.4,35.05,35.95,35.95,36.6,29.25,35.5,32.8,10,-1.15,-3.6,-0.25,-1.35,0,-7.35,-2.7,-2.33,36.22,33.89,35.06,-1,-1,0,-1,-1,-4
742,Haryana,Kurukshetra, Pehowa,Saina Saida   ,Tube wells,SGWB,In the Village,30.01460219,76.54842566,,,,34.1,36.2,36.09,37.56,38.02,38.87,39.87,41.48,41.86,43.8,10,7.76,7.6,2.1,1.47,0.85,1.61,1.94,1.59,37.99,39.58,38.79,1,1,1,1,1,5
743,Haryana,Faridabad,Ballabhgarh,Sakrona        ,Dug wells,SGWB,"Harijan Well Sohna Road, OW",28.3,77.25,,,,2.7,2.78,2.75,1.75,1.7,1.1,2.75,2.35,3.35,3.25,10,0.65,0.47,0.08,-1,-0.6,-0.4,-0.1,-0.40,2.65,2.25,2.45,1,-1,-1,-1,-1,-3
744,Haryana,Yamuna Nagar,Sadhoura,Salehpur,Tube wells,SGWB,,30.0075,77.00388889,,,,7.42,7.12,7.62,,8.12,7.12,8.62,7.62,9.12,8.87,9,1.7,1.75,-0.3,,-1,-1,-0.25,-0.64,8.18,7.68,7.96,-1,0,-1,-1,-1,-4
745,Haryana,Panipat,Samalkha,Samalkha,Piezometers,SGWB,B.D.P.O. office.,29.23,77.01,,,,32.88,34.64,33.5,36.37,35.48,35.9,36.78,38.95,34.75,36.7,10,1.87,2.06,1.76,2.87,0.42,2.17,1.95,1.83,34.68,36.51,35.60,1,1,1,1,1,5
746,Haryana,Faridabad,Ballabhgarh,Samay Pur    ,Dug wells,SGWB,"Nanak Chand s/o Simbhu of village in owner field, OW",28.3141728,77.28457304,,,,2.05,2.1,4.05,3.1,3.25,2.45,1.7,1.65,2.85,2.8,10,0.8,0.7,0.05,-0.95,-0.8,-0.05,-0.05,-0.36,2.78,2.42,2.60,1,-1,-1,-1,-1,-3
747,Haryana,Gurugram,Sohna,Sancholi       ,Dug wells,SGWB,"LHS of Road in owner field Hazikhan, OW",28.23342574,77.12331257,,,,18.25,18.35,19.4,20,20,20.5,20,19.95,21,20.65,10,2.75,2.3,0.1,0.6,0.5,-0.05,-0.35,0.16,19.73,19.89,19.81,1,1,1,-1,-1,1
748,Haryana,Kurukshetra, Pehowa,Sandhola ,Tube wells,SGWB,In the Village,29.9523046,76.61675364,,,,33.4,34.2,35.2,36.9,36.66,36.95,37.96,39.54,39.86,41.82,10,6.46,7.62,0.8,1.7,0.29,1.58,1.96,1.27,36.62,37.88,37.25,1,1,1,1,1,5
749,Haryana,Faridabad,Ballabhgarh,Sanped                    ,Dug wells,SGWB,"Balmiki well in Balmiki Basati, OW",28.28161476,77.33155211,,,,10.1,10.22,10.65,10.45,10.5,10.63,10.73,10.15,10.7,10.5,10,0.6,0.28,0.12,-0.2,0.13,-0.58,-0.2,-0.15,10.54,10.39,10.46,1,-1,1,-1,-1,-1
750,Haryana,Palwal,Hodal,Sarai ,Dug wells,SGWB,"Near Dharam shalla, OW",27.98,77.33,,,,9.7,9.78,10.6,10.75,11.05,10.95,13.1,12.8,13.75,13.45,10,4.05,3.67,0.08,0.15,-0.1,-0.3,-0.3,-0.09,11.64,11.55,11.59,1,1,-1,-1,-1,-1
751,Haryana,Mahendragarh,Ateli,Sarai Bahadur ,Tube wells,SGWB,Near durga Nabardaar house -GB,28.07660021,76.17544669,,,,62.6,63.3,64.5,65,65,65,67.5,66,67.8,67,10,5.2,3.7,0.7,0.5,0,-1.5,-0.8,-0.22,65.48,65.26,65.37,1,1,0,-1,-1,0
752,Haryana,Yamuna Nagar,Sadhoura,Sarawan,Piezometers,SGWB,,30.00583333,77.00305556,,,,9.07,8.88,9.27,,9.39,9.29,9.47,9.37,9.61,7.1,9,0.54,-1.78,-0.19,,-0.1,-0.1,-2.51,-0.73,9.36,8.66,9.05,-1,0,-1,-1,-1,-4
753,Haryana,Kurukshetra, Pehowa,Sarsa  ,Piezometers,SGWB,In Govt. Sr. Sec. School,29.92532709,76.66351423,,,,31.3,32.8,32.7,34,34.67,35.21,36.31,37.25,36.66,37.5,10,5.36,4.7,1.5,1.3,0.54,0.94,0.84,1.02,34.33,35.35,34.84,1,1,1,1,1,5
754,Haryana,Bhiwani,Behal,Sarsi,Tube wells,SGWB,PANCHAYATI NEAR CHAKI OF LUXMAN,28.58862809,75.66936896,,,,68.03,68.23,68.4,69.5,69.85,70.2,71.95,71.98,72.17,72.4,10,4.14,4.17,0.2,1.1,0.35,0.03,0.23,0.38,70.08,70.46,70.27,1,1,1,1,1,5
755,Haryana,Sirsa,Ellanabad,Seku Khera,Tube wells,SGWB,Tubewell On Road Seku Khera,29.62193085,74.95043903,,,,32.01,33.53,33.53,34.87,34.87,36.45,35.4,35.85,39.4,39.6,10,7.39,6.07,1.52,1.34,1.58,0.45,0.2,1.02,35.04,36.06,35.55,1,1,1,1,1,5
