Sl. No.,State,District,Block,Village,TYPE,SOURCE,Site_Name,Latitude,Longitude,Well Depth,Aquifier,Level Depth Ratio,Pre_2015,Pst_2015,Pre_2016,Pst_2016,Pre_2017,Pst_2017,Pre_2018,Pst_2018,Pre_2019,Pst_2019,Final Count,Pre Diff 19 15,Pst Diff 19 15,Diff 2015,Diff 2016,Diff 2017,Diff 2018,Diff 2019,Avg Diff,Avg Pre,Avg Post ,Avg Level,Sign Diff 15,Sign Diff 16,Sign Diff 17,Sign Diff 18,Sign Diff 19,Sum Signed Diff
58,Gujarat,Banaskantha,Lakhani,Taruwa,,SGWB,,24.41,71.82,127,Unconfined,0.5008661417,60.1,57.7,60.5,57.9,63.6,63.2,64.7,66.3,71.9,70.2,10,11.8,12.5,-2.4,-2.6,-0.4,1.6,-1.7,-1.10,64.16,63.06,63.61,-1,-1,-1,1,-1,-3
59,Gujarat,Banaskantha,Tharad,Kiyal-Ii,,SGWB,,24.52,71.86,150,Unconfined,0.3184333333,44.72,44.42,47.42,45.02,47.82,46.32,48.72,48.62,53.02,51.57,10,8.3,7.15,-0.3,-2.4,-1.5,-0.1,-1.45,-1.15,48.34,47.19,47.77,-1,-1,-1,-1,-1,-5
60,Gujarat,Banaskantha,Tharad,Kiyal-Iii,,SGWB,,24.52,71.86,151,Confined,0.320410596,45.2,44.6,46.6,44.7,50.3,46.62,50.5,48.4,55.9,51,10,10.7,6.4,-0.6,-1.9,-3.68,-2.1,-4.9,-2.64,49.70,47.06,48.38,-1,-1,-1,-1,-1,-5
61,Gujarat,Banaskantha,Deesa,Baiwada,,SGWB,,24.35,72.17,120.5,Confined,0.7281327801,87.1,84.6,86.2,86.2,88,88,90,88.8,89.3,89.2,10,2.2,4.6,-2.5,0,0,-1.2,-0.1,-0.76,88.12,87.36,87.74,-1,0,0,-1,-1,-3
62,Gujarat,Banaskantha,Lakhani,Bhakadiyal-1,,SGWB,,24.41,71.93,150,Confined,0.4415666667,56.8,52.7,61.3,60.25,68.1,64.8,70.3,71.2,80,76.9,10,23.2,24.2,-4.1,-1.05,-3.3,0.9,-3.1,-2.13,67.30,65.17,66.24,-1,-1,-1,1,-1,-3
63,Gujarat,Banaskantha,Lakhani,Jhakol - 1,,SGWB,,24.32,71.98,90,Confined,1.264544444,100.4,96.3,107.4,104.8,114.3,114.3,120,121.14,129.75,129.7,10,29.35,33.4,-4.1,-2.6,0,1.14,-0.05,-1.12,114.37,113.25,113.81,-1,-1,0,1,-1,-2
64,Gujarat,Banaskantha,Deesa,Tetoda-1,,SGWB,,24.43,72.1,90,Confined,0.9633222222,94.4,91.6,94.8,81.7,84.9,84.35,83,83.2,84.34,84.7,10,-10.06,-6.9,-2.8,-13.1,-0.55,0.2,0.36,-3.18,88.29,85.11,86.70,-1,-1,-1,1,1,-1
65,Gujarat,Banaskantha,Deesa,Tetoda-2,,SGWB,,24.43,72.1,90,Unconfined,0.8097777778,77.4,74.1,74.6,71.2,72.4,72,71.7,71.4,72.2,71.8,10,-5.2,-2.3,-3.3,-3.4,-0.4,-0.3,-0.4,-1.56,73.66,72.10,72.88,-1,-1,-1,-1,-1,-5
66,Gujarat,Banaskantha,Dhanera,Alwada,,SGWB,,24.55,72.22,120,Unconfined,0.3028333333,38.5,35.5,37.9,34.2,39.7,32.6,33.1,34.3,39.5,38.1,10,1,2.6,-3,-3.7,-7.1,1.2,-1.4,-2.80,37.74,34.94,36.34,-1,-1,-1,1,-1,-3
67,Gujarat,Banaskantha,Dhanera,Lawara - 1,,SGWB,,24.61,71.93,120,Confined,0.4669166667,58.19,54.29,54.69,54.39,55.69,55.69,56.69,56.09,58.69,55.89,10,0.5,1.6,-3.9,-0.3,0,-0.6,-2.8,-1.52,56.79,55.27,56.03,-1,-1,0,-1,-1,-4
